question,context,options,consensus,implied_comment
Do you need a ride to the airport?,"A colleague asks in a knowing tone, after hearing them talk about their upcoming trip without mentioning any travel arrangements.","A. Your car must not be as great as you claim. 
B. I am offering to give you a ride to the airport 
C. I'm annoyed that you keep expecting me to drive you places. 
D. You clearly haven't arranged transport to the airport. 
E. The weather is bad; your usual way may be unsafe.",B,You clearly haven't arranged transport to the airport.
Can you help me study for my test?,A student asks their friend in a cheerful tone after their friend aced the last exam.,"A. Please assist me in studying for my test 
B. I'm sorry for not being there last time and would like to make it up by studying together now. 
C. I admit I need assistance to understand this material. 
D. Great job on your test, you're really smart! 
E. It's clear you're not going to help, as always.",A,"Great job on your test, you're really smart!"
Is the pope Catholic?,"A distracted coworker asks during a team meeting in a sarcastic tone, after everyone else has agreed on ordering pizza for lunch.","A. I know you're involved, so start talking. 
B. It's so clear that it's not even a real question. 
C. Please, just order the pizza. 
D. Yes, you definitely want a piece of cake. 
E. The answer is obviously yes",E,"Please, just order the pizza."
Do you need anything from the grocery store?,"A parent asks their child while holding a list, already aware of the household's empty pantry.","A. I know we're out of things, and I'm going to the grocery store. 
B. You can handle shopping independently. 
C. I'm already planning on getting what I've written down, so let me know if you need something else. 
D. I am willing to buy something for you from the grocery store 
E. I don't believe you actually need anything.",C,"I know we're out of things, and I'm going to the grocery store."
Have you been sleeping well lately?,A concerned friend noticing the dark circles under someone’s eyes during a casual conversation over coffee.,"A. I have some remedies or advice to help you sleep better. 
B. You missed the point completely. 
C. I am concerned about your well-being 
D. I'm sorry for the stressful work environment. 
E. Your recent performance has been subpar.",C,I have some remedies or advice to help you sleep better.
Would you like me to book the tickets?,"A person sarcastically asks a friend who is always indecisive about plans, after they failed to make any arrangements for a trip.","A. It's frustrating how disorganized this has become, and I have to take charge. 
B. I am willing to book the tickets for you 
C. We might miss out if we don't book soon. 
D. Your suggestion is impractical and not worth considering. 
E. You're incapable of organizing anything yourself.",A,You're incapable of organizing anything yourself.
Do you need me to carry some of your shopping?,"An older sibling, with a confident demeanor, asks their younger sibling as they struggle with a heavy load of groceries.","A. You clearly can't handle that by yourself. 
B. I will help you, don't worry. 
C. I am willing to help carry your shopping 
D. I told you this was a bad idea. 
E. You're out of shape if you can't handle that small load.",B,You clearly can't handle that by yourself.
Did you let the cat out?,A pet owner asks their partner in an accusatory tone after they find the door open and remember a previous discussion about keeping it closed.,"A. You're reckless and caused trouble again. 
B. I don't agree with the door being left open. 
C. I don't actually care about the answer. 
D. I want to know if you released the cat outside 
E. Don't worry, I'll help bring it back.",A,I don't agree with the door being left open.
Are you picking the kids up from school today?,"One parent asks the other in an exasperated tone, knowing the other always forgets and leaves responsibilities unfinished.","A. I'm sorry about last time's confusion. 
B. I want to know if you have plans to pick up the kids from school today 
C. You're unreliable. 
D. You need to start being more responsible. 
E. You better come on time or face penalties.",D,You're unreliable.
Can you fill up the gas tank?,"A manager tells a new employee, holding out the company credit card as the employee heads out to use the company car.","A. Get back to work and stop complaining. 
B. I believe in your ability to do it. 
C. It's your job to ensure the car is ready. 
D. I'm not sure you're capable of handling this. 
E. Please fill up the gas tank",E,It's your job to ensure the car is ready.
